Timestamp;Map;Duration;Victory;KillingBlows;HonorKills;Deaths;Damage;Healing;Honor;RatingChange;MMR;EnemyMMR;Specialization;PrestigeLevel;isRated;isBrawl;isMercenary
1582584271;726;419;true;0;9;1;330411;2750916;570;188;1504;1426;Restoration;86;true;false;false
1582583696;2106;607;true;0;10;2;575048;5370228;805;190;1460;1355;Restoration;86;true;false;false
1582581472;1035;718;false;0;25;3;1371080;6384931;280;0;1491;1418;Restoration;85;true;false;false
1582579718;761;547;false;0;3;1;87428;5861339;216;0;1498;1645;Restoration;85;true;false;false
1582235675;726;994;false;0;9;5;4716338;13076224;318;0;1535;1491;Guardian;85;true;false;true
1582234259;2245;589;true;0;3;0;1584458;2075611;482;192;1503;1425;Guardian;85;true;false;false
1582232992;566;994;false;0;10;0;7046132;11088852;266;0;1536;1522;Guardian;85;true;false;false
1582231832;566;701;true;0;20;0;5367864;7316402;546;192;1486;1514;Guardian;85;true;false;false
1582230689;1035;773;false;2;35;2;4885970;6530553;279;0;1533;1573;Guardian;85;true;false;false
1582229612;1803;878;false;0;15;4;6868006;11630385;177;0;1604;1604;Guardian;85;true;false;false
1582228562;2107;989;true;0;10;0;10181404;10006114;791;192;1495;1531;Guardian;85;true;false;false
1578168042;726;1208;true;2;42;3;3541985;7614040;639;192;1661;1666;Guardian;82;true;false;false
1578166649;2106;1138;true;2;52;3;2318560;4947376;900;192;1521;1563;Guardian;82;true;false;false
1578164011;1035;724;false;1;35;0;3315513;5398648;305;0;1553;1572;Guardian;82;true;false;false
1578161679;1105;698;false;0;0;1;3388640;4460420;350;0;1595;1708;Guardian;82;true;false;true
1578160217;1105;613;false;0;4;2;2313665;4393894;208;0;1701;1688;Guardian;82;true;false;false
